scenario_base,scenario,seed,lookahead_hours,rolling_interval_minutes,ev_total,ev_v2g,ev_car,ev_bus,events_total,queued_events,unserved_events,avg_wait_min,max_wait_min,objective,gen_cost,grid_cost,curt_cost,volt_pen,storage_terminal_value,ev_depart_penalty,ev_unmet_kwh,v2g_reward,avg_depart_soc_v2g,avg_depart_soc_non_v2g
S6,S6_1,133.0000,18.0000,360.0000,1000.0000,582.0000,318.0000,100.0000,11510.0000,806.0000,0.0000,59.4435,173.7167,4963557.2308,1606079.9959,1334781.0233,0.0068,0.0014,0.0001,2200090.5230,110004.5261,177394.3194,0.7427,0.8280
S6,S6_2,133.0000,24.0000,360.0000,1000.0000,582.0000,318.0000,100.0000,11510.0000,806.0000,0.0000,59.4435,173.7167,4864873.3612,1606079.9985,1369259.3751,-0.0033,0,6326.9381,2066007.4238,103300.3712,170146.4949,0.7571,0.8280
S7,S7_0,145.0000,12.0000,360.0000,1000.0000,579.0000,327.0000,94.0000,11710.0000,1035.0000,0.0000,43.8574,153.1833,5069139.0247,1606079.9991,1345924.1332,0,0,11887.0132,2310406.5682,115520.3284,181384.6626,0.7381,0.8228
S7,S7_1,145.0000,18.0000,360.0000,1000.0000,579.0000,327.0000,94.0000,11710.0000,1035.0000,0.0000,43.8574,153.1833,4996044.0875,1606079.9997,1329578.7725,0,0,0,2241985.2965,112099.2648,181599.9812,0.7408,0.8273
S7,S7_2,145.0000,24.0000,360.0000,1000.0000,579.0000,327.0000,94.0000,11710.0000,1035.0000,0.0000,43.8574,153.1833,4873531.3355,1606080.0016,1366053.8786,0,0,5581.3702,2079637.7879,103981.8894,172658.9623,0.7604,0.8266
S8,S8_0,150.0000,12.0000,360.0000,1000.0000,598.0000,289.0000,113.0000,11037.0000,666.0000,0.0000,93.9084,204.0167,5072277.5406,1606079.9905,1340025.4500,0,0,11886.9700,2330542.6084,116527.1304,192483.5384,0.7410,0.8219
S8,S8_1,150.0000,18.0000,360.0000,1000.0000,598.0000,289.0000,113.0000,11037.0000,666.0000,0.0000,93.9084,204.0167,5041991.3349,1606080.0043,1332263.7334,0.0007,61.7088,0.0002,2295461.4745,114773.0737,191875.5867,0.7435,0.8236
S8,S8_2,150.0000,24.0000,360.0000,1000.0000,598.0000,289.0000,113.0000,11037.0000,666.0000,0.0000,93.9084,204.0167,4863338.2369,1606080.0128,1368774.2204,0,0,6203.9437,2076031.8295,103801.5915,181343.8821,0.7639,0.8246
S9,S9_0,153.0000,12.0000,360.0000,1000.0000,602.0000,297.0000,101.0000,11216.0000,705.0000,0.0000,79.5564,181.3167,5069019.5347,1606079.9827,1347267.7599,0.0001,0,11886.9843,2317314.0202,115865.7010,189755.2438,0.7411,0.8200
S9,S9_1,153.0000,18.0000,360.0000,1000.0000,602.0000,297.0000,101.0000,11216.0000,705.0000,0.0000,79.5564,181.3167,5016292.0486,1606079.9783,1334225.1525,0.0003,0,0.0002,2264544.1820,113227.2091,188557.2642,0.7438,0.8235
S9,S9_2,153.0000,24.0000,360.0000,1000.0000,602.0000,297.0000,101.0000,11216.0000,705.0000,0.0000,79.5564,181.3167,4846509.4495,1606079.9991,1369536.9613,0,0,6236.0175,2058797.9131,102939.8957,181669.4064,0.7638,0.8245
